pos	country_code	country	localite	category	value	date	sources	link	sdr_id	sdr_name	sdr_level
6757	SL	"Sierra Leone"	Kailahun	Deaths	285	41898	WHO	"Sitrep 17Sep"	8626	Kailahun	ADM2
6758	SL	"Sierra Leone"	Kailahun	Deaths	234	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8626	Kailahun	ADM2
6759	SL	"Sierra Leone"	Kailahun	"New cases"	22	41898	WHO	"Sitrep 17Sep"	8626	Kailahun	ADM2
6760	SL	"Sierra Leone"	Kailahun	"New cases"	22	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8626	Kailahun	ADM2
6761	SL	"Sierra Leone"	Kailahun	"Probable cases"	32	41898	WHO	"Sitrep 17Sep"	8626	Kailahun	ADM2
6762	SL	"Sierra Leone"	Kailahun	"Probable cases"	32	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8626	Kailahun	ADM2
6763	SL	"Sierra Leone"	Kailahun	"Suspected cases"	18	41898	WHO	"Sitrep 17Sep"	8626	Kailahun	ADM2
6764	SL	"Sierra Leone"	Kailahun	"Suspected cases"	18	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8626	Kailahun	ADM2
6765	SL	"Sierra Leone"	Kambia	Cases	3	41898	WHO	"Sitrep 17Sep"	8627	Kambia	ADM2
6766	SL	"Sierra Leone"	Kambia	Cases	3	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8627	Kambia	ADM2
6767	SL	"Sierra Leone"	Kambia	"Confirmed cases"	3	41898	WHO	"Sitrep 17Sep"	8627	Kambia	ADM2
6768	SL	"Sierra Leone"	Kambia	"Confirmed cases"	3	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8627	Kambia	ADM2
6769	SL	"Sierra Leone"	Kambia	Deaths	0	41898	WHO	"Sitrep 17Sep"	8627	Kambia	ADM2
6770	SL	"Sierra Leone"	Kambia	Deaths	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8627	Kambia	ADM2
6771	SL	"Sierra Leone"	Kambia	"New cases"	0	41898	WHO	"Sitrep 17Sep"	8627	Kambia	ADM2
6772	SL	"Sierra Leone"	Kambia	"New cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8627	Kambia	ADM2
6773	SL	"Sierra Leone"	Kambia	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	8627	Kambia	ADM2
6774	SL	"Sierra Leone"	Kambia	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8627	Kambia	ADM2
6775	SL	"Sierra Leone"	Kambia	"Suspected cases"	0	41898	WHO	"Sitrep 17Sep"	8627	Kambia	ADM2
6776	SL	"Sierra Leone"	Kambia	"Suspected cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8627	Kambia	ADM2
6777	SL	"Sierra Leone"	Kenema	Cases	438	41898	WHO	"Sitrep 17Sep"	8628	Kenema	ADM2
6778	SL	"Sierra Leone"	Kenema	Cases	438	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8628	Kenema	ADM2
6779	SL	"Sierra Leone"	Kenema	"Confirmed cases"	410	41898	WHO	"Sitrep 17Sep"	8628	Kenema	ADM2
6780	SL	"Sierra Leone"	Kenema	"Confirmed cases"	410	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8628	Kenema	ADM2
6781	SL	"Sierra Leone"	Kenema	Deaths	233	41898	WHO	"Sitrep 17Sep"	8628	Kenema	ADM2
6782	SL	"Sierra Leone"	Kenema	Deaths	233	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8628	Kenema	ADM2
6783	SL	"Sierra Leone"	Kenema	"New cases"	1	41898	WHO	"Sitrep 17Sep"	8628	Kenema	ADM2
6784	SL	"Sierra Leone"	Kenema	"New cases"	3	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8628	Kenema	ADM2
6785	SL	"Sierra Leone"	Kenema	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	8628	Kenema	ADM2
6786	SL	"Sierra Leone"	Kenema	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8628	Kenema	ADM2
6787	SL	"Sierra Leone"	Kenema	"Suspected cases"	28	41898	WHO	"Sitrep 17Sep"	8628	Kenema	ADM2
6788	SL	"Sierra Leone"	Kenema	"Suspected cases"	28	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8628	Kenema	ADM2
6789	SL	"Sierra Leone"	Koinadugu	Cases	0	41898	WHO	"Sitrep 17Sep"	8629	Koinadugu	ADM2
6790	SL	"Sierra Leone"	Koinadugu	Cases	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8629	Koinadugu	ADM2
6791	SL	"Sierra Leone"	Koinadugu	"Confirmed cases"	0	41898	WHO	"Sitrep 17Sep"	8629	Koinadugu	ADM2
6792	SL	"Sierra Leone"	Koinadugu	"Confirmed cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8629	Koinadugu	ADM2
6793	SL	"Sierra Leone"	Koinadugu	Deaths	0	41898	WHO	"Sitrep 17Sep"	8629	Koinadugu	ADM2
6794	SL	"Sierra Leone"	Koinadugu	Deaths	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8629	Koinadugu	ADM2
6795	SL	"Sierra Leone"	Koinadugu	"New cases"	0	41898	WHO	"Sitrep 17Sep"	8629	Koinadugu	ADM2
6796	SL	"Sierra Leone"	Koinadugu	"New cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8629	Koinadugu	ADM2
6797	SL	"Sierra Leone"	Koinadugu	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	8629	Koinadugu	ADM2
6798	SL	"Sierra Leone"	Koinadugu	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8629	Koinadugu	ADM2
6799	SL	"Sierra Leone"	Koinadugu	"Suspected cases"	0	41898	WHO	"Sitrep 17Sep"	8629	Koinadugu	ADM2
6800	SL	"Sierra Leone"	Koinadugu	"Suspected cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8629	Koinadugu	ADM2
6801	SL	"Sierra Leone"	Kono	Cases	55	41898	WHO	"Sitrep 17Sep"	8630	Kono	ADM2
6802	SL	"Sierra Leone"	Kono	Cases	55	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8630	Kono	ADM2
6803	SL	"Sierra Leone"	Kono	"Confirmed cases"	15	41898	WHO	"Sitrep 17Sep"	8630	Kono	ADM2
6804	SL	"Sierra Leone"	Kono	"Confirmed cases"	15	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8630	Kono	ADM2
6805	SL	"Sierra Leone"	Kono	Deaths	3	41898	WHO	"Sitrep 17Sep"	8630	Kono	ADM2
6806	SL	"Sierra Leone"	Kono	Deaths	3	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8630	Kono	ADM2
6807	SL	"Sierra Leone"	Kono	"New cases"	0	41898	WHO	"Sitrep 17Sep"	8630	Kono	ADM2
6808	SL	"Sierra Leone"	Kono	"New cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8630	Kono	ADM2
6809	SL	"Sierra Leone"	Kono	"Probable cases"	1	41898	WHO	"Sitrep 17Sep"	8630	Kono	ADM2
6810	SL	"Sierra Leone"	Kono	"Probable cases"	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8630	Kono	ADM2
6811	SL	"Sierra Leone"	Kono	"Suspected cases"	39	41898	WHO	"Sitrep 17Sep"	8630	Kono	ADM2
6812	SL	"Sierra Leone"	Kono	"Suspected cases"	39	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8630	Kono	ADM2
6813	SL	"Sierra Leone"	Moyamba	Cases	19	41898	WHO	"Sitrep 17Sep"	8631	Moyamba	ADM2
6814	SL	"Sierra Leone"	Moyamba	Cases	19	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8631	Moyamba	ADM2
6815	SL	"Sierra Leone"	Moyamba	"Confirmed cases"	17	41898	WHO	"Sitrep 17Sep"	8631	Moyamba	ADM2
6816	SL	"Sierra Leone"	Moyamba	"Confirmed cases"	17	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8631	Moyamba	ADM2
6817	SL	"Sierra Leone"	Moyamba	Deaths	6	41898	WHO	"Sitrep 17Sep"	8631	Moyamba	ADM2
6818	SL	"Sierra Leone"	Moyamba	Deaths	6	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8631	Moyamba	ADM2
6819	SL	"Sierra Leone"	Moyamba	"New cases"	0	41898	WHO	"Sitrep 17Sep"	8631	Moyamba	ADM2
6820	SL	"Sierra Leone"	Moyamba	"New cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8631	Moyamba	ADM2
6821	SL	"Sierra Leone"	Moyamba	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	8631	Moyamba	ADM2
6822	SL	"Sierra Leone"	Moyamba	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8631	Moyamba	ADM2
6823	SL	"Sierra Leone"	Moyamba	"Suspected cases"	2	41898	WHO	"Sitrep 17Sep"	8631	Moyamba	ADM2
6824	SL	"Sierra Leone"	Moyamba	"Suspected cases"	2	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8631	Moyamba	ADM2
6825	SL	"Sierra Leone"	National	Cases	1735	41898	WHO	"Sitrep 17Sep"	0		
6826	SL	"Sierra Leone"	National	Cases	1735	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	0		
6827	SL	"Sierra Leone"	National	"Confirmed cases"	1571	41898	WHO	"Sitrep 17Sep"	0		
6828	SL	"Sierra Leone"	National	"Confirmed cases"	1571	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	0		
6829	SL	"Sierra Leone"	National	Deaths	580	41898	WHO	"Sitrep 17Sep"	0		
6830	SL	"Sierra Leone"	National	Deaths	531	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	0		
6831	SL	"Sierra Leone"	National	"New cases"	7	41898	WHO	"Sitrep 17Sep"	0		
6832	SL	"Sierra Leone"	National	"New cases"	34	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	0		
6833	SL	"Sierra Leone"	National	"Probable cases"	37	41898	WHO	"Sitrep 17Sep"	0		
6834	SL	"Sierra Leone"	National	"Probable cases"	37	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	0		
6835	SL	"Sierra Leone"	National	"Suspected cases"	127	41898	WHO	"Sitrep 17Sep"	0		
6836	SL	"Sierra Leone"	National	"Suspected cases"	127	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	0		
6837	SL	"Sierra Leone"	"Port Loko"	Cases	160	41898	WHO	"Sitrep 17Sep"	8632	"Port Loko"	ADM2
6838	SL	"Sierra Leone"	"Port Loko"	Cases	160	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8632	"Port Loko"	ADM2
6839	SL	"Sierra Leone"	"Port Loko"	"Confirmed cases"	155	41898	WHO	"Sitrep 17Sep"	8632	"Port Loko"	ADM2
6840	SL	"Sierra Leone"	"Port Loko"	"Confirmed cases"	155	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8632	"Port Loko"	ADM2
6841	SL	"Sierra Leone"	"Port Loko"	Deaths	18	41898	WHO	"Sitrep 17Sep"	8632	"Port Loko"	ADM2
6842	SL	"Sierra Leone"	"Port Loko"	Deaths	18	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8632	"Port Loko"	ADM2
6843	SL	"Sierra Leone"	"Port Loko"	"New cases"	0	41898	WHO	"Sitrep 17Sep"	8632	"Port Loko"	ADM2
6844	SL	"Sierra Leone"	"Port Loko"	"New cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8632	"Port Loko"	ADM2
6845	SL	"Sierra Leone"	"Port Loko"	"Probable cases"	1	41898	WHO	"Sitrep 17Sep"	8632	"Port Loko"	ADM2
6846	SL	"Sierra Leone"	"Port Loko"	"Probable cases"	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8632	"Port Loko"	ADM2
6847	SL	"Sierra Leone"	"Port Loko"	"Suspected cases"	4	41898	WHO	"Sitrep 17Sep"	8632	"Port Loko"	ADM2
6848	SL	"Sierra Leone"	"Port Loko"	"Suspected cases"	4	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8632	"Port Loko"	ADM2
6849	SL	"Sierra Leone"	Pujehun	Cases	11	41898	WHO	"Sitrep 17Sep"	8633	Pujehun	ADM2
6850	SL	"Sierra Leone"	Pujehun	Cases	11	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8633	Pujehun	ADM2
6851	SL	"Sierra Leone"	Pujehun	"Confirmed cases"	10	41898	WHO	"Sitrep 17Sep"	8633	Pujehun	ADM2
6852	SL	"Sierra Leone"	Pujehun	"Confirmed cases"	10	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8633	Pujehun	ADM2
6853	SL	"Sierra Leone"	Pujehun	Deaths	1	41898	WHO	"Sitrep 17Sep"	8633	Pujehun	ADM2
6854	SL	"Sierra Leone"	Pujehun	Deaths	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8633	Pujehun	ADM2
6855	SL	"Sierra Leone"	Pujehun	"New cases"	0	41898	WHO	"Sitrep 17Sep"	8633	Pujehun	ADM2
6856	SL	"Sierra Leone"	Pujehun	"New cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8633	Pujehun	ADM2
6857	SL	"Sierra Leone"	Pujehun	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	8633	Pujehun	ADM2
6858	SL	"Sierra Leone"	Pujehun	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8633	Pujehun	ADM2
6859	SL	"Sierra Leone"	Pujehun	"Suspected cases"	1	41898	WHO	"Sitrep 17Sep"	8633	Pujehun	ADM2
6860	SL	"Sierra Leone"	Pujehun	"Suspected cases"	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8633	Pujehun	ADM2
6861	SL	"Sierra Leone"	Tonkolili	Cases	37	41898	WHO	"Sitrep 17Sep"	8634	Tonkolili	ADM2
6862	SL	"Sierra Leone"	Tonkolili	Cases	37	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8634	Tonkolili	ADM2
6863	SL	"Sierra Leone"	Tonkolili	"Confirmed cases"	35	41898	WHO	"Sitrep 17Sep"	8634	Tonkolili	ADM2
6864	SL	"Sierra Leone"	Tonkolili	"Confirmed cases"	35	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8634	Tonkolili	ADM2
6865	SL	"Sierra Leone"	Tonkolili	Deaths	2	41898	WHO	"Sitrep 17Sep"	8634	Tonkolili	ADM2
6866	SL	"Sierra Leone"	Tonkolili	Deaths	2	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8634	Tonkolili	ADM2
6867	SL	"Sierra Leone"	Tonkolili	"New cases"	3	41898	WHO	"Sitrep 17Sep"	8634	Tonkolili	ADM2
6868	SL	"Sierra Leone"	Tonkolili	"New cases"	3	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8634	Tonkolili	ADM2
6869	SL	"Sierra Leone"	Tonkolili	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	8634	Tonkolili	ADM2
6870	SL	"Sierra Leone"	Tonkolili	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8634	Tonkolili	ADM2
6871	SL	"Sierra Leone"	Tonkolili	"Suspected cases"	2	41898	WHO	"Sitrep 17Sep"	8634	Tonkolili	ADM2
6872	SL	"Sierra Leone"	Tonkolili	"Suspected cases"	2	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	8634	Tonkolili	ADM2
6873	SL	"Sierra Leone"	"Western Area Rural"	Cases	62	41898	WHO	"Sitrep 17Sep"	149746	"Western Area Rural"	ADM2
6874	SL	"Sierra Leone"	"Western area rural"	Cases	62	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149746	"Western Area Rural"	ADM2
6875	SL	"Sierra Leone"	"Western Area Rural"	"Confirmed cases"	55	41898	WHO	"Sitrep 17Sep"	149746	"Western Area Rural"	ADM2
6876	SL	"Sierra Leone"	"Western area rural"	"Confirmed cases"	55	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149746	"Western Area Rural"	ADM2
6877	SL	"Sierra Leone"	"Western Area Rural"	Deaths	2	41898	WHO	"Sitrep 17Sep"	149746	"Western Area Rural"	ADM2
6878	SL	"Sierra Leone"	"Western area rural"	Deaths	2	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149746	"Western Area Rural"	ADM2
6879	SL	"Sierra Leone"	"Western Area Rural"	"New cases"	0	41898	WHO	"Sitrep 17Sep"	149746	"Western Area Rural"	ADM2
6880	SL	"Sierra Leone"	"Western area rural"	"New cases"	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149746	"Western Area Rural"	ADM2
6881	SL	"Sierra Leone"	"Western Area Rural"	"Probable cases"	0	41898	WHO	"Sitrep 17Sep"	149746	"Western Area Rural"	ADM2
6882	SL	"Sierra Leone"	"Western area rural"	"Probable cases"	0	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149746	"Western Area Rural"	ADM2
6883	SL	"Sierra Leone"	"Western Area Rural"	"Suspected cases"	7	41898	WHO	"Sitrep 17Sep"	149746	"Western Area Rural"	ADM2
6884	SL	"Sierra Leone"	"Western area rural"	"Suspected cases"	7	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149746	"Western Area Rural"	ADM2
6885	SL	"Sierra Leone"	"Western Area Urban"	Cases	138	41898	WHO	"Sitrep 17Sep"	149745	"Western Area Urban"	ADM2
6886	SL	"Sierra Leone"	"Western area urban"	Cases	138	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149745	"Western Area Urban"	ADM2
6887	SL	"Sierra Leone"	"Western Area Urban"	"Confirmed cases"	129	41898	WHO	"Sitrep 17Sep"	149745	"Western Area Urban"	ADM2
6888	SL	"Sierra Leone"	"Western area urban"	"Confirmed cases"	129	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149745	"Western Area Urban"	ADM2
6889	SL	"Sierra Leone"	"Western Area Urban"	Deaths	7	41898	WHO	"Sitrep 17Sep"	149745	"Western Area Urban"	ADM2
6890	SL	"Sierra Leone"	"Western area urban"	Deaths	8	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149745	"Western Area Urban"	ADM2
6891	SL	"Sierra Leone"	"Western Area Urban"	"New cases"	2	41898	WHO	"Sitrep 17Sep"	149745	"Western Area Urban"	ADM2
6892	SL	"Sierra Leone"	"Western area urban"	"New cases"	2	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149745	"Western Area Urban"	ADM2
6893	SL	"Sierra Leone"	"Western Area Urban"	"Probable cases"	1	41898	WHO	"Sitrep 17Sep"	149745	"Western Area Urban"	ADM2
6894	SL	"Sierra Leone"	"Western area urban"	"Probable cases"	1	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149745	"Western Area Urban"	ADM2
6895	SL	"Sierra Leone"	"Western Area Urban"	"Suspected cases"	8	41898	WHO	"Sitrep 17Sep"	149745	"Western Area Urban"	ADM2
6896	SL	"Sierra Leone"	"Western area urban"	"Suspected cases"	8	41898	Gvt	http://health.gov.sl/wp-content/uploads/2014/09/Ebola-Situation-Report_Vol-112.pdf	149745	"Western Area Urban"	ADM2
6897	GN	Guinea	Boffa	Cases	24	41899	Gvt	"Sitrep155 18Sep"	9	Boffa	ADM2
6898	GN	Guinea	Boffa	"Confirmed cases"	19	41899	Gvt	"Sitrep155 18Sep"	9	Boffa	ADM2
6899	GN	Guinea	Boffa	Deaths	16	41899	Gvt	"Sitrep155 18Sep"	9	Boffa	ADM2
6900	GN	Guinea	Boffa	"New cases"	0	41899	Gvt	"Sitrep155 18Sep"	9	Boffa	ADM2
6901	GN	Guinea	Boffa	"Probable cases"	5	41899	Gvt	"Sitrep155 18Sep"	9	Boffa	ADM2
6902	GN	Guinea	Boffa	"Suspected cases"	0	41899	Gvt	"Sitrep155 18Sep"	9	Boffa	ADM2
6903	GN	Guinea	Conakry	Cases	147	41899	Gvt	"Sitrep155 18Sep"	2	Conakry	ADM1
6904	GN	Guinea	Conakry	"Confirmed cases"	130	41899	Gvt	"Sitrep155 18Sep"	2	Conakry	ADM1
6905	GN	Guinea	Conakry	Deaths	68	41899	Gvt	"Sitrep155 18Sep"	2	Conakry	ADM1
6906	GN	Guinea	Conakry	"New cases"	1	41899	Gvt	"Sitrep155 18Sep"	2	Conakry	ADM1
6907	GN	Guinea	Conakry	"Probable cases"	8	41899	Gvt	"Sitrep155 18Sep"	2	Conakry	ADM1
6908	GN	Guinea	Conakry	"Suspected cases"	9	41899	Gvt	"Sitrep155 18Sep"	2	Conakry	ADM1
6909	GN	Guinea	Coyah	Cases	7	41899	Gvt	"Sitrep155 18Sep"	23	Coyah	ADM2
6910	GN	Guinea	Coyah	"Confirmed cases"	7	41899	Gvt	"Sitrep155 18Sep"	23	Coyah	ADM2
6911	GN	Guinea	Coyah	Deaths	5	41899	Gvt	"Sitrep155 18Sep"	23	Coyah	ADM2
6912	GN	Guinea	Coyah	"New cases"	0	41899	Gvt	"Sitrep155 18Sep"	23	Coyah	ADM2
6913	GN	Guinea	Coyah	"Probable cases"	0	41899	Gvt	"Sitrep155 18Sep"	23	Coyah	ADM2
6914	GN	Guinea	Coyah	"Suspected cases"	0	41899	Gvt	"Sitrep155 18Sep"	23	Coyah	ADM2
6915	GN	Guinea	Dabola	Cases	4	41899	Gvt	"Sitrep155 18Sep"	14	Dabola	ADM2
6916	GN	Guinea	Dabola	"Confirmed cases"	1	41899	Gvt	"Sitrep155 18Sep"	14	Dabola	ADM2
6917	GN	Guinea	Dabola	Deaths	4	41899	Gvt	"Sitrep155 18Sep"	14	Dabola	ADM2
6918	GN	Guinea	Dabola	"New cases"	0	41899	Gvt	"Sitrep155 18Sep"	14	Dabola	ADM2
6919	GN	Guinea	Dabola	"Probable cases"	3	41899	Gvt	"Sitrep155 18Sep"	14	Dabola	ADM2
6920	GN	Guinea	Dabola	"Suspected cases"	0	41899	Gvt	"Sitrep155 18Sep"	14	Dabola	ADM2
6921	GN	Guinea	Dalaba	Cases	2	41899	Gvt	"Sitrep155 18Sep"	34	Dalaba	ADM2
6922	GN	Guinea	Dalaba	"Confirmed cases"	2	41899	Gvt	"Sitrep155 18Sep"	34	Dalaba	ADM2
6923	GN	Guinea	Dalaba	Deaths	0	41899	Gvt	"Sitrep155 18Sep"	34	Dalaba	ADM2
6924	GN	Guinea	Dalaba	"New cases"	0	41899	Gvt	"Sitrep155 18Sep"	34	Dalaba	ADM2
6925	GN	Guinea	Dalaba	"Probable cases"	0	41899	Gvt	"Sitrep155 18Sep"	34	Dalaba	ADM2
6926	GN	Guinea	Dalaba	"Suspected cases"	0	41899	Gvt	"Sitrep155 18Sep"	34	Dalaba	ADM2
6927	GN	Guinea	Dinguiraye	Cases	1	41899	Gvt	"Sitrep155 18Sep"	15	Dinguiraye	ADM2
6928	GN	Guinea	Dinguiraye	"Confirmed cases"	0	41899	Gvt	"Sitrep155 18Sep"	15	Dinguiraye	ADM2
6929	GN	Guinea	Dinguiraye	Deaths	1	41899	Gvt	"Sitrep155 18Sep"	15	Dinguiraye	ADM2
6930	GN	Guinea	Dinguiraye	"New cases"	0	41899	Gvt	"Sitrep155 18Sep"	15	Dinguiraye	ADM2
6931	GN	Guinea	Dinguiraye	"Probable cases"	1	41899	Gvt	"Sitrep155 18Sep"	15	Dinguiraye	ADM2
6932	GN	Guinea	Dinguiraye	"Suspected cases"	0	41899	Gvt	"Sitrep155 18Sep"	15	Dinguiraye	ADM2
6933	GN	Guinea	Dubreka	Cases	22	41899	Gvt	"Sitrep155 18Sep"	24	Dubreka	ADM2
6934	GN	Guinea	Dubreka	"Confirmed cases"	21	41899	Gvt	"Sitrep155 18Sep"	24	Dubreka	ADM2
6935	GN	Guinea	Dubreka	Deaths	7	41899	Gvt	"Sitrep155 18Sep"	24	Dubreka	ADM2
6936	GN	Guinea	Dubreka	"New cases"	0	41899	Gvt	"Sitrep155 18Sep"	24	Dubreka	ADM2
6937	GN	Guinea	Dubreka	"Probable cases"	0	41899	Gvt	"Sitrep155 18Sep"	24	Dubreka	ADM2
