Destination Country,Donor,Recipient Organization,Emergency title,Response Plan/Appeal title,Project code,Emergency year,USD committed/contributed,USD pledged,Description,IASC Standard Sector,Original currency amount,Original currency unit,Decision date,Contribution status,Reported by
Liberia,Switzerland,Liberian Red Cross Society,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71119/7395,2014,"324,500",0,(Liberia) Purchase of 9 vehicles to health services,HEALTH,"295,000",CHF,10/15/14,Paid contribution,Donor
Liberia,Switzerland,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"1,100,000",0,(Liberia) medical treatment of infected and prevention campaigns (IFRC and Swiss RC),HEALTH,"1,000,000",CHF,10/23/14,Paid contribution,Donor
Liberia,Switzerland,Médecins sans Frontières - Switzerland,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71116/5223,2014,"1,100,000",0,(Liberia) Support to Ebola emergency response in Lofa County - Liberia,HEALTH,"1,000,000",CHF,9/22/14,Paid contribution,Donor
Liberia,Switzerland,International Committee of the Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"550,000",0,(Liberia) - support to 2 health centers,HEALTH,"500,000",CHF,10/28/14,Paid contribution,Donor
Liberia,UNICEF National Committee/Hong Kong,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"64,503",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,10/1/14,Paid contribution,Agency
Liberia,UNICEF National Committee/Hong Kong,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"11,292",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,10/1/14,Paid contribution,Agency
Liberia,UNICEF National Committee/Japan,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"296,459",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,10/9/14,Paid contribution,Agency
Liberia,UNICEF National Committee/Japan,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"100,000",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,4/11/14,Paid contribution,Agency
Liberia,UNICEF National Committee/Korea (Republic of),United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"100,000",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,8/28/14,Paid contribution,Agency
Liberia,UNICEF National Committee/United Kingdom,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"83,056",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,4/8/14,Paid contribution,Agency
Liberia,UNICEF National Committee/United Kingdom,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"213,889",0,(Liberia) Response to Ebola outbreak (Dawnus),HEALTH,,USD,9/18/14,Paid contribution,Agency
Liberia,United Kingdom,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"331,675",0,(Liberia) Provision of Ebola and disaster response expertise to support the ebola response in West Africa: surge support for DFID Sierra Leone and UNICEF (204838),COORDINATION AND SUPPORT SERVICES,"200,000",GBP,9/5/14,Commitment,Donor
Liberia,United States of America,Global Communities,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"17,267,089",0,(Liberia) Health (USAID/OFDA),HEALTH,,USD,8/20/14,Commitment,Donor
Liberia,United States of America,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"5,000,000",0,(Liberia) Health (USAID/LIBERIA),HEALTH,,USD,10/1/14,Commitment,Donor
Liberia,United States of America,International Organization for Migration,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71388/298,2014,"28,048,894",0,(Liberia) Ebola response (USAID/OFDA),HEALTH,,USD,10/8/14,Paid contribution,Donor
Liberia,United States of America,Save the Children,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71107/6079,2014,"8,276,263",0,(Liberia) Ebola response (USAID/OFDA),HEALTH,,USD,10/8/14,Paid contribution,Donor
Liberia,United States of America,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"4,337,230",0,(Liberia) Regional EMOP - 200761 - Support to Populations in Areas Affected by the Ebola Outbreak in West Africa (USAID/FFP),FOOD,,USD,9/10/14,Paid contribution,Donor and Agency
Liberia,United States of America,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"2,224,044",0,(Liberia) Health (USAID/OFDA),HEALTH,,USD,9/17/14,Paid contribution,Donor
Liberia,United States of America,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"131,700,000",0,(Liberia) Assistance to EVD response efforts (DoD),HEALTH,,USD,9/17/14,Commitment,Donor
Liberia,United States of America,Project Concern International,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,550,723",0,(Liberia) Logistics Support and Relief Commodities; Health (USAID/OFDA),HEALTH,,USD,10/1/14,Commitment,Donor
Liberia,United States of America,Mercy Corps,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"12,000,000",0,"(Liberia Health, Humanitarian Coordination and Information Management (USAID/OFDA)",HEALTH,,USD,10/22/14,Commitment,Donor
Liberia,United States of America,International Rescue Committee,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"13,371,683",0,(Liberia) Health (USAID/OFDA),HEALTH,,USD,9/10/14,Commitment,Donor
Liberia,United States of America,John Snow International,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"3,121,104",0,(Liberia) Ebola response - Health (USAID/OFDA),HEALTH,,USD,11/5/14,Commitment,Donor
Liberia,United States of America,Deutsche Welthungerhilfe e.V. (German Agro Action),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,302,322",0,"(Liberia) Ebola response - Health, WASH (USAID/OFDA)",HEALTH,,USD,11/5/14,Commitment,Donor
Liberia,United States of America,United Nations Office for Project Services,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/CSS/71113/5767,2014,"6,875,724",0,(Liberia) Ebola response - Logistics Support and Relief Commodities(USAID/OFDA),COORDINATION AND SUPPORT SERVICES,,USD,11/5/14,Commitment,Donor
Liberia,United States of America,Mentor Initiative,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,598,314",0,Liberia) Health (USAID/OFDA),HEALTH,,USD,10/15/14,Commitment,Donor
Liberia,United States of America,Samaritan's Purse,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"7,782,027",0,"Liberia) Health, Logistics Support and Relief Commodities (USAID/OFDA)",HEALTH,,USD,10/15/14,Commitment,Donor
Liberia,United States of America,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"3,301,560",0,(Liberia) Ebola Response (USAID/OFDA),HEALTH,,USD,10/1/14,Paid contribution,Agency
Liberia,United States of America,International Medical Corps,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71121/5160,2014,"10,841,404",0,(Liberia) Health (USAID/OFDA),HEALTH,,USD,8/13/14,Commitment,Donor
Liberia,United States of America,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"1,000,000",0,(Liberia) Health (USAID/OFDA),HEALTH,,USD,8/13/14,Commitment,Donor
Liberia,United States of America,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"680,333",0,(Liberia) Logistics Support and Relief Commodities (USAID/OFDA),SECTOR NOT YET SPECIFIED,,USD,8/27/14,Paid contribution,Donor and Agency
Liberia,United States of America,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"5,288,353",0,(Liberia) Logistics Support and Relief Commodities (USAID/OFDA),HEALTH,,USD,8/27/14,Commitment,Donor
Liberia,United States of America,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"5,658,093",0,(Liberia) Ebola Response (USAID/OFDA),HEALTH,,USD,10/27/14,Paid contribution,Agency
Liberia,US Fund for UNICEF,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"1,350,000",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,9/22/14,Paid contribution,Agency
Liberia,US Fund for UNICEF,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"95,000",0,(Liberia) Response to Ebola outbreak,HEALTH,,USD,8/4/14,Paid contribution,Agency
Liberia,World Bank,Various Recipients (details not yet provided),Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71276/7183,2014,"20,778,594",0,(Liberia) Support for emergency response to the Ebola crisis (remaining balance of $52 million grant to the Government of Liberia),HEALTH,,USD,9/8/14,Commitment,Donor
Liberia,World Bank,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"5,600,000",0,(Liberia) food supply to quarantined and Ebola-affected population (through the Government of Liberia),FOOD,,USD,9/17/14,Paid contribution,Donor and Agency
Liberia,World Bank,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"19,121,406",0,(Liberia) PPEs and lab materials,HEALTH,,USD,10/1/14,Paid contribution,Donor and Agency
Liberia,World Bank,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"5,100,000",0,(Liberia) drugs and equipment,HEALTH,,USD,10/1/14,Paid contribution,Donor and Agency
Malawi,Allocation of unearmarked funds by UNDP,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"17,688",0,(Malawi) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,9/1/14,Paid contribution,Agency
Mali,Bill and Melinda Gates Foundation,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"162,000",0,(Mali) to provide critical emergency support to populations affected by the Ebola Virus Disease Outbreak in West Africa (through US Fund for UNICEF),HEALTH,,USD,9/10/14,Paid contribution,Donor and Agency
Mali,Canada,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"396,507",0,(Mali) Ebola Response,HEALTH,"442,000",CAD,10/17/14,Paid contribution,Donor and Agency
Mali,Canada,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"13,441",0,(Mali) Mali - IFRC Emergency Appeal,HEALTH,"15,000",CAD,10/9/14,Commitment,Donor
Mali,Denmark,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,0,"800,000",(Mali) to support WHO’s preparedness plan in Mali,HEALTH,,USD,10/29/14,Pledge,Donor
Mali,Denmark,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"216,000",0,(Mali) Response to Ebola outbreak,HEALTH,"1,265,760",DKK,10/31/14,Paid contribution,Agency
Mali,Germany,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"378,000",0,(Mali) Ebola Response,HEALTH,"297,486",EUR,11/4/14,Paid contribution,Donor and Agency
Mali,Luxembourg,Luxembourg Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"19,763",0,(Mali) Regional programme for Ebola preparedness (AH/CR/2014/0010),HEALTH,"15,000",EUR,9/29/14,Commitment,Donor
Mali,Spain,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"53,508",0,(Mali) To reduce the immediate risks to the health of affected populations (MDRML010),HEALTH,"40,024",EUR,8/22/14,Commitment,Donor
Mali,Sweden,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"200,000",0,(Mali) Response to Ebola outbreak,HEALTH,"1,504,000",SEK,10/6/14,Paid contribution,Donor and Agency
Mali,Sweden,International Rescue Committee,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"207,226",0,(Mali) Ebola prevention,HEALTH,"1,524,768",SEK,11/7/14,Commitment,Donor
Niger,Luxembourg,Luxembourg Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"19,763",0,(Niger) Regional programme for Ebola preparedness (AH/CR/2014/0010),HEALTH,"15,000",EUR,9/29/14,Commitment,Donor
Nigeria,African Development Bank,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,000,000",0,(Nigeria) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,9/19/14,Paid contribution,Donor and Agency
Nigeria,Aliko Dangote's Foundation,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"924,000",0,(Nigeria) National Ebola Emergency Operations Centre (EOC),,,,,,
Nigeria,Bill and Melinda Gates Foundation,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,400,000",0,"(Nigeria) Ebola Response - to improve surveillance, reporting, response and preparedness for the Ebola Virus Disease Outbreak in Nigeria",HEALTH,,USD,10/3/14,Paid contribution,Donor
Nigeria,Canada,International Federation of Red Cross and Red Crescent Societies,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71122/99,2014,"64,279",0,(Nigeria) Nigeria - IFRC Emergency Appeal,HEALTH,"70,000",CAD,8/12/14,Commitment,Donor
Nigeria,Central Emergency Response Fund,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"394,866",0,(Nigeria) Social Mobilization for Containment of the Ebola Virus Disease in Lagos,HEALTH,,USD,9/4/14,Paid contribution,Donor and Agency
Nigeria,Central Emergency Response Fund,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"1,063,443",0,(Nigeria) Life-saving response to contain the Ebola virus Disease outbreak in Lagos Nigeria,HEALTH,,USD,9/8/14,Paid contribution,Donor and Agency
Nigeria,Chevron Corporation,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,(NIGERIA) (IN-KIND) Donations of ambulances + support of core operations of the Ebola Operation Center in its monitoring exercise.,HEALTH,,USD,9/17/14,Paid contribution,Donor
Nigeria,Netherlands,Netherlands Red Cross,Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"131,752",0,(Nigeria) Ebola virus control (23833),HEALTH,"100,000",EUR,9/19/14,Commitment,Donor
Nigeria,Private (individuals & organisations),Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"15,637",0,(NIGERIA) Wireless Application Services Providers Association of Ghana (WASPAG) to Noguchi Memorial Institute for Medical Research for vaccine development and research,HEALTH,,USD,9/26/14,Paid contribution,Donor
Nigeria,Seplat Petroleum Development Company Plc,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"123,457",0,(Nigeria) Lagos Isolation Centre. Donating to the cause of eradication of the Ebola Virus,HEALTH,"20,000,000",NGN,9/12/14,Paid contribution,Donor
Nigeria,Seplat Petroleum Development Company Plc,Private (individuals & organisations),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"185,185",0,"(Nigeria) First Consultants Medical Centre, Lagos. Donating to the cause of eradication of the Ebola Virus",HEALTH,,USD,9/12/14,Paid contribution,Donor
Nigeria,Shell Oil Company,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,"(NIGERIA) (IN-KIND) In kind donation - an ambulance to the National Ebola Emergency Operations Centre at Yaba, Lagos and another one to the Port Harcourt centre. Two trucks with three months fuel supply were also sent to the centre in Port Harcourt along with medical supplies to the health authorities and the centres in Lagos and Port Harcourt",HEALTH,,USD,8/16/14,Paid contribution,Donor
Nigeria,TOTAL,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,(NIGERIA) (IN-KIND) Donations of ambulances + support of core operations of the Ebola Operation Center in its monitoring exercise.,HEALTH,,USD,9/17/14,Paid contribution,Donor
Nigeria,TOTAL,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,0,0,(NIGERIA) (IN-KIND) Donated five Fort Pick-up vans as well as electronic fueling cards to the Ebola Emergency Operations Center in Nigeria,HEALTH,,USD,9/23/14,Paid contribution,Donor
Nigeria,UNICEF National Committee/Japan,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,"197,639",0,(Nigeria) Response to Ebola outbreak,HEALTH,,USD,10/9/14,Paid contribution,Agency
Region,African Development Bank,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"2,766,252",0,"(Region) to prevent and contain the spread of the Ebola epidemic in Guinea, Sierra Leone and Liberia",HEALTH,"2,000,000",EUR,5/1/14,Paid contribution,Agency
Region,African Development Bank,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"38,600,000",0,(Region) Ebola emergency assistance grant to strengthen health systems (part of $60 million 2014-2016 grant to the West Africa region),HEALTH,,USD,9/4/14,Paid contribution,Donor and Agency
Region,African Development Bank,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,0,"17,400,000",(Region) Ebola emergency assistance grant to strengthen health systems (remaining undisbursed amount of $60 million 2014-2016 grant to the West Africa region),HEALTH,,USD,8/18/14,Pledge,Donor and Agency
Region,African Rainbow Minerals,Bilateral (affected government),Ebola Virus Outbreak - WEST AFRICA - April 2014,,,2014,"1,000,000",0,"(Guinea) To assist fight against Ebola ( clinical management, social mobilisation, medical coordination and other key mechanisms of controlling the disease. )",HEALTH,,USD,10/28/14,Paid contribution,Donor
Region,African Union,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"700,000",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,,USD,9/8/14,Paid contribution,Agency
Region,Allocation of unearmarked funds by UNICEF,United Nations Children's Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71109/124,2014,125,0,(Region) Response to Ebola outbreak (through UNICEF/Thailand),HEALTH,,USD,9/30/14,Paid contribution,Agency
Region,Allocation of unearmarked funds by WFP,World Food Programme,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/F/71114/561,2014,"1,581,102",0,(Region) Regional EMOP - 200761 - Support to Populations in Areas Affected by the Ebola Outbreak in West Africa (Multilateral),FOOD,,USD,9/10/14,Paid contribution,Agency
Region,Andorra,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"20,053",0,(Region) WHO - Ebola virus disease outbreak response plan in West Africa,HEALTH,"15,000",EUR,8/20/14,Paid contribution,Agency
Region,Australia,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"466,800",0,(Region) WHO - Ebola Virus Diseases Outbreak response in West Africa,HEALTH,"500,000",AUD,9/19/14,Paid contribution,Agency
Region,Australia,Ebola Response Multi-Partner Trust Fund,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71642/16815,2014,"8,755,000",0,(Region) Ebola Response Multi-Partner Trust Fund,HEALTH,"10,000,000",AUD,9/22/14,Paid contribution,Donor and Agency
Region,Australia,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"466,800",0,(Region) WHO - Ebola Virus Diseases Outbreak response in west Africa,HEALTH,"500,000",AUD,9/8/14,Paid contribution,Agency
Region,Australia,World Health Organization,Ebola Virus Outbreak - WEST AFRICA - April 2014,"Ebola Virus Outbreak - Overview of Needs and Requirements (inter-agency plan for Guinea, Liberia, Sierra Leone, Region) - September 2014 - February 2015",EBOLA-14/H/71120/122,2014,"2,334,267",0,(Region) WHO - Ebola Virus Diseases Outbreak response in West Africa,HEALTH,"2,500,000",AUD,9/22/14,Paid contribution,Donor and Agency
